ts_ms,iso,best_bid,best_ask,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size,spread,mid,imbalance_l1,imbalance_k
1755333324328,2025-08-16T08:35:24.328000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,3.8120000000,117543.0000000000,0.0710000000,117542.8000000000,0.1290000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.6000000000,0.1510000000,117541.5000000000,0.1170000000,117541.2000000000,0.0300000000,117540.8000000000,0.0020000000,117543.2000000000,4.1460000000,117544.2000000000,0.0170000000,117544.4000000000,2.1550000000,117544.6000000000,1.8420000000,117545.3000000000,0.0020000000,117546.0000000000,0.0490000000,117546.4000000000,0.0090000000,117546.5000000000,0.0020000000,117546.6000000000,0.2780000000,117547.0000000000,0.2620000000,0.1000000000,117543.1500000000,0.4790148278,0.3316042414
1755333324429,2025-08-16T08:35:24.429000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,3.7840000000,117543.0000000000,0.0710000000,117542.8000000000,0.1290000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.6000000000,0.1510000000,117541.5000000000,0.1170000000,117541.2000000000,0.0300000000,117540.8000000000,0.0020000000,117543.2000000000,4.1460000000,117544.2000000000,0.0170000000,117544.4000000000,2.1550000000,117544.6000000000,1.8420000000,117545.3000000000,0.0020000000,117546.0000000000,0.0490000000,117546.4000000000,0.0090000000,117546.5000000000,0.0020000000,117546.6000000000,0.2780000000,117547.0000000000,0.2620000000,0.1000000000,117543.1500000000,0.4771752837,0.3301735341
1755333324528,2025-08-16T08:35:24.528000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,3.7840000000,117543.0000000000,0.0710000000,117542.8000000000,0.1290000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.6000000000,0.1510000000,117541.5000000000,0.1170000000,117541.2000000000,0.0300000000,117540.8000000000,0.0020000000,117543.2000000000,4.1460000000,117544.2000000000,0.0170000000,117544.4000000000,2.1550000000,117544.6000000000,1.8420000000,117545.3000000000,0.0020000000,117546.0000000000,0.0490000000,117546.4000000000,0.0090000000,117546.5000000000,0.0020000000,117546.6000000000,0.2780000000,117547.0000000000,0.2620000000,0.1000000000,117543.1500000000,0.4771752837,0.3301735341
1755333325528,2025-08-16T08:35:25.528000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,3.6010000000,117543.0000000000,0.0710000000,117542.8000000000,0.0010000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.9000000000,0.0020000000,117541.8000000000,0.1410000000,117541.6000000000,0.1510000000,117541.5000000000,0.1170000000,117543.2000000000,3.5430000000,117544.2000000000,0.0130000000,117544.4000000000,2.1550000000,117544.6000000000,1.8420000000,117545.3000000000,0.0020000000,117546.4000000000,0.0090000000,117546.5000000000,0.0020000000,117547.0000000000,0.2620000000,117547.2000000000,0.0010000000,117547.8000000000,0.2460000000,0.1000000000,117543.1500000000,0.5040593505,0.3377890766
1755333326529,2025-08-16T08:35:26.529000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,2.0850000000,117543.0000000000,0.0710000000,117542.8000000000,0.0010000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.9000000000,0.0020000000,117541.5000000000,0.1170000000,117541.2000000000,0.0300000000,117540.8000000000,0.0020000000,117543.2000000000,4.5180000000,117544.2000000000,0.0150000000,117544.4000000000,2.1550000000,117544.6000000000,1.8420000000,117544.7000000000,0.2490000000,117546.4000000000,0.0090000000,117546.5000000000,0.0020000000,117547.0000000000,0.2620000000,117547.2000000000,0.0010000000,117547.7000000000,0.0020000000,0.1000000000,117543.1500000000,0.3157655611,0.2055623794
1755333327528,2025-08-16T08:35:27.528000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,2.0630000000,117543.0000000000,0.0710000000,117542.8000000000,0.0010000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.9000000000,0.0020000000,117541.5000000000,0.1170000000,117541.2000000000,0.0300000000,117540.8000000000,0.0020000000,117543.2000000000,4.4850000000,117544.2000000000,0.0170000000,117544.4000000000,2.1550000000,117544.6000000000,1.8420000000,117544.7000000000,0.2490000000,117546.4000000000,0.0090000000,117546.5000000000,0.0020000000,117547.0000000000,0.2620000000,117547.2000000000,0.0010000000,117547.7000000000,0.0020000000,0.1000000000,117543.1500000000,0.3150580330,0.2045835170
1755333328528,2025-08-16T08:35:28.528000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,0.8180000000,117543.0000000000,0.0710000000,117542.8000000000,0.0010000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.9000000000,0.0020000000,117541.5000000000,0.1170000000,117541.2000000000,0.0300000000,117540.8000000000,0.0020000000,117543.2000000000,5.5310000000,117544.2000000000,0.0170000000,117544.4000000000,2.1550000000,117544.6000000000,1.8420000000,117544.7000000000,0.2490000000,117546.4000000000,0.0090000000,117546.5000000000,0.0020000000,117547.0000000000,0.2620000000,117547.2000000000,0.0010000000,117547.7000000000,0.0020000000,0.1000000000,117543.1500000000,0.1288391873,0.0965368742
1755333329529,2025-08-16T08:35:29.529000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,1.4320000000,117543.0000000000,0.0710000000,117542.8000000000,0.0010000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.9000000000,0.0020000000,117541.5000000000,0.1170000000,117541.2000000000,0.0300000000,117540.8000000000,0.0020000000,117543.2000000000,5.4440000000,117544.2000000000,0.0170000000,117544.4000000000,2.1550000000,117544.6000000000,1.8420000000,117544.7000000000,0.2490000000,117546.4000000000,0.0090000000,117546.5000000000,0.0020000000,117547.0000000000,0.2620000000,117547.2000000000,0.0010000000,117547.7000000000,0.0020000000,0.1000000000,117543.1500000000,0.2082606166,0.1447785488
1755333330528,2025-08-16T08:35:30.528000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,0.8880000000,117543.0000000000,0.0720000000,117542.8000000000,0.0010000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.9000000000,0.0020000000,117541.5000000000,0.1170000000,117541.2000000000,0.0300000000,117540.8000000000,0.0020000000,117543.2000000000,5.4870000000,117544.2000000000,1.2170000000,117544.4000000000,2.9550000000,117544.5000000000,1.0010000000,117544.6000000000,2.9040000000,117544.7000000000,0.2480000000,117546.4000000000,0.0090000000,117546.5000000000,0.0020000000,117546.9000000000,0.0160000000,117547.0000000000,0.2620000000,0.1000000000,117543.1500000000,0.1392941176,0.0752229801
1755333331528,2025-08-16T08:35:31.528000+00:00,117543.1000000000,117543.2000000000,117543.1000000000,0.3010000000,117543.0000000000,0.0720000000,117542.8000000000,0.0010000000,117542.7000000000,0.0010000000,117542.3000000000,0.0320000000,117542.1000000000,0.0020000000,117541.9000000000,0.0020000000,117541.5000000000,0.1170000000,117540.8000000000,0.0020000000,117540.6000000000,0.0700000000,117543.2000000000,5.6750000000,117543.6000000000,1.0010000000,117544.2000000000,3.1740000000,117544.3000000000,1.0010000000,117544.4000000000,2.9550000000,117544.6000000000,1.9040000000,117544.7000000000,0.2480000000,117545.5000000000,0.0160000000,117546.5000000000,0.0020000000,117547.0000000000,0.2620000000,0.1000000000,117543.1500000000,0.0503681392,0.0356336857
1755333332532,2025-08-16T08:35:32.532000+00:00,117533.5000000000,117533.6000000000,117533.5000000000,0.0720000000,117533.1000000000,0.0100000000,117533.0000000000,0.0010000000,117532.9000000000,0.0170000000,117532.8000000000,0.0010000000,117532.6000000000,0.0020000000,117532.4000000000,0.0080000000,117532.2000000000,0.0080000000,117532.1000000000,0.0080000000,117532.0000000000,0.0320000000,117533.6000000000,1.2470000000,117533.8000000000,0.0930000000,117535.0000000000,0.0150000000,117535.5000000000,0.2350000000,117536.2000000000,0.0150000000,117536.6000000000,0.4210000000,117536.8000000000,0.1150000000,117537.1000000000,0.3060000000,117537.3000000000,1.1700000000,117537.4000000000,0.0040000000,0.1000000000,117533.5500000000,0.0545868082,0.0420634921
1755333333528,2025-08-16T08:35:33.528000+00:00,117530.7000000000,117530.8000000000,117530.7000000000,0.0490000000,117530.3000000000,0.0040000000,117530.2000000000,0.0020000000,117530.0000000000,0.0010000000,117529.9000000000,0.0010000000,117529.0000000000,0.0020000000,117528.1000000000,0.1170000000,117527.9000000000,0.0020000000,117527.5000000000,0.0010000000,117526.7000000000,0.0030000000,117530.8000000000,13.6400000000,117530.9000000000,1.0020000000,117531.2000000000,0.0010000000,117531.8000000000,1.0080000000,117532.7000000000,1.0000000000,117532.8000000000,1.0010000000,117533.4000000000,0.0010000000,117533.6000000000,0.2000000000,117534.3000000000,0.0010000000,117534.7000000000,0.1170000000,0.1000000000,117530.7500000000,0.0035795164,0.0100258910
1755333334528,2025-08-16T08:35:34.528000+00:00,117525.0000000000,117525.1000000000,117525.0000000000,2.5880000000,117524.7000000000,0.0010000000,117524.5000000000,0.0160000000,117523.7000000000,0.0120000000,117523.6000000000,0.0300000000,117523.5000000000,0.0240000000,117523.4000000000,1.1430000000,117523.3000000000,0.9310000000,117523.2000000000,0.0060000000,117523.1000000000,0.9310000000,117525.1000000000,8.8320000000,117525.2000000000,0.0010000000,117525.4000000000,0.0010000000,117525.6000000000,0.0090000000,117526.0000000000,0.0490000000,117526.6000000000,0.0020000000,117527.3000000000,0.2360000000,117527.6000000000,0.0010000000,117527.7000000000,0.2580000000,117528.0000000000,0.0490000000,0.1000000000,117525.0500000000,0.2266199650,0.3757936508
1755333335529,2025-08-16T08:35:35.529000+00:00,117525.0000000000,117525.1000000000,117525.0000000000,4.5610000000,117524.7000000000,0.0010000000,117524.5000000000,0.0160000000,117523.7000000000,0.0120000000,117523.6000000000,0.0300000000,117523.5000000000,0.0240000000,117523.4000000000,1.1430000000,117523.2000000000,0.0080000000,117523.1000000000,0.9310000000,117522.8000000000,0.0010000000,117525.1000000000,8.5010000000,117525.4000000000,0.0010000000,117525.6000000000,0.0090000000,117525.7000000000,0.0010000000,117526.0000000000,0.0490000000,117526.6000000000,0.0020000000,117527.3000000000,0.2360000000,117527.6000000000,0.0010000000,117527.7000000000,0.2580000000,117528.0000000000,0.0490000000,0.1000000000,117525.0500000000,0.3491808299,0.4248452697
1755333336529,2025-08-16T08:35:36.529000+00:00,117525.0000000000,117525.1000000000,117525.0000000000,2.9710000000,117524.7000000000,0.0010000000,117524.5000000000,0.0160000000,117523.7000000000,0.0120000000,117523.6000000000,0.0300000000,117523.5000000000,0.0240000000,117523.4000000000,1.1430000000,117523.2000000000,0.0080000000,117523.1000000000,0.9310000000,117522.8000000000,0.0010000000,117525.1000000000,8.5240000000,117525.2000000000,0.0010000000,117525.4000000000,0.0010000000,117525.6000000000,0.0090000000,117526.0000000000,0.0490000000,117526.6000000000,0.0020000000,117527.3000000000,0.2360000000,117527.6000000000,0.0010000000,117527.7000000000,0.2580000000,117528.0000000000,0.0490000000,0.1000000000,117525.0500000000,0.2584602001,0.3600616808
1755333337528,2025-08-16T08:35:37.528000+00:00,117525.0000000000,117525.1000000000,117525.0000000000,3.0510000000,117524.7000000000,0.0010000000,117524.5000000000,0.0160000000,117523.7000000000,0.0120000000,117523.6000000000,0.0300000000,117523.5000000000,0.0240000000,117523.4000000000,1.1430000000,117523.2000000000,0.0080000000,117523.1000000000,0.9310000000,117522.8000000000,0.0010000000,117525.1000000000,8.5240000000,117525.2000000000,0.0010000000,117525.4000000000,0.0010000000,117525.6000000000,0.0090000000,117526.0000000000,0.0490000000,117526.6000000000,0.0020000000,117527.3000000000,0.2360000000,117527.6000000000,0.0010000000,117527.7000000000,0.2580000000,117528.0000000000,0.0490000000,0.1000000000,117525.0500000000,0.2635853132,0.3636300272
1755333338528,2025-08-16T08:35:38.528000+00:00,117525.0000000000,117525.1000000000,117525.0000000000,3.0490000000,117524.7000000000,0.0010000000,117524.5000000000,0.0160000000,117523.7000000000,0.0120000000,117523.6000000000,0.0300000000,117523.5000000000,0.0240000000,117523.4000000000,1.1430000000,117523.2000000000,0.0080000000,117523.1000000000,0.9310000000,117522.8000000000,0.0010000000,117525.1000000000,8.5240000000,117525.2000000000,0.0010000000,117525.4000000000,0.0010000000,117525.6000000000,0.0090000000,117526.0000000000,0.0490000000,117526.6000000000,0.0020000000,117527.3000000000,0.2360000000,117527.6000000000,0.0010000000,117527.7000000000,0.2580000000,117528.0000000000,0.0490000000,0.1000000000,117525.0500000000,0.2634580489,0.3635413036
1755333339533,2025-08-16T08:35:39.533000+00:00,117514.2000000000,117514.3000000000,117514.2000000000,2.8920000000,117514.1000000000,0.0020000000,117513.8000000000,0.0010000000,117513.3000000000,0.0010000000,117513.2000000000,0.0070000000,117512.9000000000,0.0020000000,117512.6000000000,0.0280000000,117512.5000000000,0.2400000000,117512.4000000000,0.4720000000,117512.3000000000,0.5950000000,117514.3000000000,7.7590000000,117514.8000000000,0.6080000000,117514.9000000000,0.0830000000,117515.0000000000,0.0010000000,117515.1000000000,0.0640000000,117516.1000000000,0.2640000000,117516.2000000000,0.0100000000,117516.3000000000,0.2440000000,117516.7000000000,0.0050000000,117518.0000000000,1.0490000000,0.1000000000,117514.2500000000,0.2715238006,0.2959447198
1755333340528,2025-08-16T08:35:40.528000+00:00,117514.2000000000,117514.3000000000,117514.2000000000,5.1470000000,117514.1000000000,0.0020000000,117513.8000000000,0.0010000000,117513.5000000000,0.1360000000,117513.3000000000,0.0010000000,117512.9000000000,0.0020000000,117512.6000000000,0.0260000000,117512.5000000000,0.0500000000,117512.4000000000,0.4720000000,117512.2000000000,0.0250000000,117514.3000000000,6.0800000000,117514.7000000000,0.0620000000,117514.8000000000,0.0010000000,117514.9000000000,0.0830000000,117515.0000000000,0.0010000000,117515.3000000000,0.0080000000,117516.1000000000,0.2040000000,117516.2000000000,0.0090000000,117518.0000000000,0.0490000000,117518.4000000000,0.0030000000,0.1000000000,117514.2500000000,0.4584483834,0.4741951141
1755333341528,2025-08-16T08:35:41.528000+00:00,117514.2000000000,117514.3000000000,117514.2000000000,5.1470000000,117514.1000000000,0.0020000000,117513.8000000000,0.0010000000,117513.5000000000,0.1360000000,117512.9000000000,0.0020000000,117512.6000000000,0.0260000000,117512.5000000000,0.0500000000,117512.4000000000,0.4720000000,117512.2000000000,0.0250000000,117511.8000000000,0.0250000000,117514.3000000000,6.0800000000,117514.7000000000,0.0620000000,117514.9000000000,0.0830000000,117515.0000000000,0.0010000000,117515.3000000000,0.0100000000,117516.1000000000,0.2040000000,117516.2000000000,0.0090000000,117518.0000000000,0.0490000000,117518.4000000000,0.0030000000,117518.5000000000,0.0010000000,0.1000000000,117514.2500000000,0.4584483834,0.4751372296
